id,label
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,1
9,0
10,1
11,0
12,0
13,0
14,0
15,1
16,1
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,1
25,0
26,0
27,0
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,0
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,1
48,1
49,0
50,1
51,1
52,1
53,1
54,1
55,0
56,1
57,0
58,1
59,0
60,0
61,1
62,1
63,0
64,0
65,1
66,1
67,1
68,1
69,1
70,0
71,1
72,1
73,1
74,1
75,1
76,1
77,0
78,1
79,0
80,0
81,1
82,0
83,1
84,1
85,1
86,1
87,0
88,1
89,1
90,1
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,1
102,0
103,1
104,1
105,0
106,1
107,0
108,0
109,1
110,1
111,1
112,1
113,1
114,0
115,1
116,0
117,1
118,0
119,1
120,0
121,1
122,1
123,1
124,0
125,1
126,0
127,1
128,0
129,1
130,0
131,1
132,1
133,1
134,1
135,0
136,1
137,0
138,1
139,0
140,0
141,0
142,0
143,0
144,1
145,0
146,0
147,1
148,1
149,1
150,1
151,1
152,0
153,0
154,1
155,0
156,0
157,1
158,1
159,0
160,0
161,0
162,1
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,1
172,1
173,0
174,1
175,0
176,0
177,1
178,1
179,0
180,1
181,0
182,1
183,1
184,1
185,1
186,0
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,0
197,1
198,0
199,1
200,1
201,1
202,0
203,1
204,0
205,0
206,1
207,0
208,1
209,1
210,0
211,1
212,1
213,0
214,0
215,1
216,0
217,0
218,0
219,0
220,0
221,0
222,1
223,1
224,1
225,1
226,1
227,1
228,0
229,1
230,0
231,1
232,1
233,0
234,0
235,0
236,0
237,1
238,0
239,0
240,1
241,1
242,1
243,1
244,1
245,0
246,0
247,1
248,0
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,0
258,0
259,1
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,1
268,1
269,1
270,1
271,0
272,1
273,1
274,0
275,0
276,1
277,0
278,1
279,0
280,1
